,foods
829,Meat and corn hominy soup
830,Italian Wedding Soup
831,Beef stroganoff soup
832,Pork vegetable soup with potato
833,Pork with vegetable excluding carrots
834,Bacon soup
835,Chicken or turkey broth
836,Mexican style chicken broth soup stock
837,Chicken rice soup
838,Chicken soup with noodles and potatoes
839,Chicken or turkey gumbo soup
840,Chicken or turkey noodle soup
841,Sweet and sour soup
842,Chicken or turkey soup with vegetables
843,Chicken or turkey corn soup with noodles
844,Chicken or turkey vegetable soup
845,Chicken or turkey vegetable soup with rice
846,Chicken or turkey vegetable soup with noodles
847,Chicken or turkey and corn hominy soup
848,Chicken or turkey vegetable soup with potato and cheese
849,Bird's nest soup
850,Hot and sour soup
851,Chicken or turkey soup with vegetables and fruit
852,Chicken or turkey soup
853,Chicken or turkey mushroom soup
854,Fish stock
855,Fish chowder
856,Crab soup
857,Clam chowder
858,Turtle and vegetable soup
859,Fish and vegetable soup
860,Fish soup with potatoes
861,Codfish
862,Codfish soup with noodles
863,Lobster bisque
864,Lobster gumbo
865,Oyster stew
866,Salmon soup
867,Shrimp soup
868,Shrimp gumbo
869,Seafood soup with potatoes and vegetables including carrots
870,Seafood soup with potatoes
871,Seafood soup with vegetables including carrots
872,Seafood soup with vegetables excluding carrots
873,Meat broth
874,Spanish vegetable soup
875,Gravy
876,Oyster sauce
877,Mole sauce
878,Egg
879,Duck egg
880,Goose egg
881,Quail egg
882,Egg salad
883,Egg Salad
884,Huevos rancheros
885,Egg casserole with bread
886,Egg foo yung
887,Chicken egg foo yung
888,Pork egg foo yung
889,Shrimp egg foo yung
890,Beef egg foo yung
891,Ripe plantain omelet
892,Scrambled eggs with jerked beef
893,Eggs a la Malaguena
894,Shrimp-egg patty
895,Egg omelet or scrambled egg
896,Egg and sausage on biscuit
897,Egg and bacon on biscuit
898,Egg and ham on biscuit
899,Egg and steak on biscuit
900,Egg and cheese on biscuit
901,Egg salad sandwich
902,Scrambled egg sandwich
903,Egg drop soup
904,Garlic egg soup
905,Egg white omelet
906,Egg white
907,Meringues
908,Egg substitute
909,Beans
910,White beans
911,Black beans
912,Black beans with meat
913,Fava beans
914,Lima beans
915,Pink beans
916,Pinto beans
917,Pinto beans with meat
918,Kidney beans
919,Kidney beans with meat
920,Peruvian beans
921,Soybeans
922,Mung beans
923,Baked beans
924,Baked beans from fast food / restaurant
925,Beans and tomatoes
926,Black bean salad
927,Refried beans
928,Refried beans with meat
929,Bean dip
930,Layer dip
931,Hummus
932,Black bean sauce
933,Beans and franks
934,Pork and beans
935,Beans with meat
936,Falafel
937,Bean cake
938,Chili with beans
939,Blackeyed peas
940,Chickpeas
941,Split peas
942,Wasabi peas
943,Lentils
944,Bean chips
945,Papad
946,Sambar
947,Lentil curry
948,Lentil curry with rice
949,Soy nuts
950,Soy chips
951,Soybean curd
952,Edamame
953,Soybean curd cheese
954,Miso sauce
955,Miso
956,Natto
957,Hoisin sauce
958,Soy sauce
959,Teriyaki sauce
960,Worcestershire sauce
961,Vermicelli
962,Textured vegetable protein
963,Frozen dessert
964,Bean soup
965,Bean with bacon or ham soup
966,Black bean soup
967,Lima bean soup
968,Soybean soup
969,Pinto bean soup
970,Bean and ham soup
971,Liquid from stewed kidney beans
972,Pea and ham soup
973,Garbanzo bean or chickpea soup
974,Split pea and ham soup
975,Split pea soup
976,Lentil soup
977,Bacon strip
978,Bacon bits
979,Breakfast link
980,Luncheon slice
981,Meatball
982,Vegetarian burger or patty
983,Sandwich spread
984,Vegetarian pot pie
985,Vegetarian chili
986,Tofu and vegetables including carrots
987,Tofu and vegetables excluding carrots
988,Vegetarian
989,Vegetarian stew
990,Vegetarian stroganoff
991,Soyburger
992,Nuts
993,Almonds
994,Brazil nuts
995,Cashews
996,Chestnuts
997,Coconut
998,Hazelnuts
999,Macadamia nuts
1000,Mixed nuts
1001,Peanuts
1002,Pecans
1003,Pine nuts
1004,Pistachio nuts
1005,Walnuts
1006,Almond butter
1007,Almond paste
1008,Cashew butter
1009,Peanut butter
1010,Peanut butter and jelly
1011,Peanut butter and chocolate spread
1012,Soy nut butter
1013,Peanut sauce
1014,Peanut butter sandwich
1015,Peanut butter and jelly sandwich
1016,Coconut cream
1017,Coconut water
1018,Trail mix
1019,Trail mix with nuts
1020,Trail mix with nuts and fruit
1021,Trail mix with chocolate
1022,Trail mix with pretzels
1023,Pumpkin seeds
1024,Sunflower seeds
1025,Sesame seeds
1026,Tahini
1027,Flax seeds
1028,Mixed seeds
1029,Chia seeds
1030,Carob chips
1031,Bread
1032,Roll
1033,Focaccia
1034,Naan
1035,Garlic bread
1036,Bruschetta
1037,Pan Dulce
1038,Coffee cake
1039,Croissant
1040,Brioche
1041,Bagel
1042,Bread stuffing
1043,Bread stuffing made with egg
1044,Breadsticks
1045,Croutons
1046,Muffin
1047,Melba toast
1048,Anisette toast
1049,Pannetone
1050,Zwieback toast
1051,Injera
1052,Biscuit
1053,Crumpet
1054,Biscuit with fruit
1055,Scone
1056,Cornbread
1057,Cornbread stuffing
1058,Cornbread muffin
1059,Corn flour patty or tart
1060,Corn pone
1061,Gordita/sope shell
1062,Hush puppy
1063,Johnnycake
1064,Spoonbread
1065,Tortilla
1066,Taco shell
1067,Arepa Dominicana
1068,Popover
1069,Cake batter
1070,Cake or cupcake
1071,Cake
1072,Cheesecake
1073,Cheesecake with fruit
1074,Snack cake
1075,Ice cream cake
1076,Rum cake
1077,Cookie
1078,Cookie bar
1079,Pocky
1080,Marie biscuit
1081,Cookies
1082,Pie
1083,Mixed fruit tart filled with custard or cream cheese
1084,Dessert pizza
1085,Pie shell
1086,Vanilla wafer dessert base
